time,open,high,low,close,Volume
2016-04-22,8.16551,8.35409,7.65311,7.84002,10640.65368086
2016-04-23,7.78,8.55,7.72362,8.31517,8874.54402886
2016-04-24,8.2732,8.44958,7.81,7.95,13296.53137373
2016-04-25,7.98,8.1,7.27,7.56491,24138.53660413
2016-04-26,7.5451,7.576,7.09997,7.43,22577.13617091
2016-04-27,7.429,7.98949,7.336,7.76876,13113.26390094
2016-04-28,7.76882,7.77686,7.2218,7.2218,10560.11481478
2016-04-29,7.2186,7.7322,7.2186,7.49446,6821.2698551
2016-04-30,7.61997,9.419,7.5465,8.85,42938.12438119
2016-05-01,8.83018,9.1,8.4255,8.79,9414.09250798
2016-05-02,8.85276,10.44999,8.8517,10.14775,30153.72477149
2016-05-03,10.148,10.148,8.43,9.38359,22832.1008462
2016-05-04,9.30931,10,9.24522,9.46589,18452.08141564
2016-05-05,9.3642,10,9.27,9.8,15593.24418835
2016-05-06,9.80001,9.971,9.14,9.3088,21384.42933386
2016-05-07,9.35,9.6386,9.24711,9.3199,3362.71502139
2016-05-08,9.42,9.61499,8.978,9.535,9354.33415178
2016-05-09,9.5,9.6699,9.2135,9.351,4976.41668784
2016-05-10,9.351,9.52989,9.25191,9.41,5153.95698568
2016-05-11,9.41,10,9.38311,9.98,19139.00446325
2016-05-12,9.98,10.55,9.85191,10.13,28169.65447408
2016-05-13,10.23832,11.09,10.05005,10.6465,22172.89263313
2016-05-14,10.5902,10.69449,9.73,10.12592,18961.69592465
2016-05-15,10.22411,10.47923,9.9,9.93,11006.79161233
2016-05-16,9.98492,11.4087,9.98195,11.13,31714.74905909
2016-05-17,11.14709,12.5,11.04392,12.14288,24698.74108154
2016-05-18,12.2,14.3,12.2,13.499,40517.57950195
2016-05-19,13.4789,14.45,12.85005,14.45,39344.44917679
2016-05-20,14.456,14.85,13.25,13.5,38246.51869666
2016-05-21,13.50001,13.9989,12.81003,13.81876,18206.72087939
2016-05-22,13.85,14.23,13.732,14.2,19054.90504827
2016-05-23,14.1482,14.38,13.2,13.35,29715.1643236
2016-05-24,13.32791,13.81299,11.80051,12.7,31902.91210137
2016-05-25,12.75822,12.9124,11.8,12.5,21233.18969517
2016-05-26,12.5,12.9,12,12.301,15002.04826064
2016-05-27,12.301,12.35379,10.40003,11.29649,43128.23509606
2016-05-28,11.2318,12.2,10.29,11.56001,31116.56324279
2016-05-29,11.79,12.39998,11.4908,12.07017,13094.55935454
2016-05-30,12.26999,12.76,12,12.63097,13607.16907493
