time,open,high,low,close,Volume
2015-08-07,0.0101411,0.0125746,0.00926219,0.00998956,0
2015-08-08,0.00998956,0.010009,0.00272546,0.00307899,0
2015-08-09,0.00307899,0.00336126,0.00241121,0.0028182,0
2015-08-10,0.0028182,0.0028182,0.0024591,0.00266492,0
2015-08-11,0.00266492,0.00420445,0.00252121,0.00389972,0
2015-08-12,0.00389972,0.00475249,0.00348638,0.00468551,0
2015-08-13,0.00468551,0.00732133,0.00444839,0.00700278,0
2015-08-14,0.00700278,0.00840051,0.00688784,0.00688784,0
2015-08-15,0.00688784,0.0070572,0.00599424,0.00647276,0
2015-08-16,0.00647276,0.00647276,0.00435305,0.00572319,0
2015-08-17,0.00572319,0.00605782,0.00465373,0.00468129,0
2015-08-18,0.00468129,0.0052578,0.00434982,0.00506353,0
2015-08-19,0.00506353,0.00569594,0.00506353,0.00558839,0
2015-08-20,0.00558839,0.00648521,0.00535347,0.00634968,0
2015-08-21,0.00634968,0.00667718,0.00599037,0.00614826,0
2015-08-22,0.00614826,0.00647094,0.00595015,0.00604262,0
2015-08-23,0.00604262,0.00606582,0.0057161,0.00596722,0
2015-08-24,0.00596722,0.00599525,0.00580381,0.0058922,0
2015-08-25,0.0058922,0.00594334,0.00516035,0.00528644,0
2015-08-26,0.00528644,0.00528644,0.00487079,0.00516475,0
2015-08-27,0.00516475,0.00519669,0.00503796,0.00510332,0
2015-08-28,0.00510332,0.00516782,0.00507099,0.00514795,0
2015-08-29,0.00514795,0.0051883,0.00504737,0.00516369,0
2015-08-30,0.00516369,0.00598654,0.00510984,0.0058126,0
2015-08-31,0.0058126,0.00612358,0.00532869,0.00588372,0
2015-09-01,0.00588372,0.00609108,0.00585607,0.00594544,0
2015-09-02,0.00594544,0.00595148,0.00560083,0.00563538,0
2015-09-03,0.00563538,0.00571103,0.00536825,0.00557957,0
2015-09-04,0.00557957,0.0057132,0.00540077,0.00554958,0
2015-09-05,0.00554958,0.00571143,0.00553245,0.00567901,0
2015-09-06,0.00567901,0.00571427,0.0053877,0.00541606,0
2015-09-07,0.00541606,0.00545065,0.00517082,0.00519225,0
2015-09-08,0.00519225,0.00522897,0.00507188,0.00507188,0
2015-09-09,0.00507188,0.00526951,0.00503082,0.00512378,0
2015-09-10,0.00512378,0.00512378,0.00476534,0.00489892,0
2015-09-11,0.00489892,0.00490072,0.00393937,0.00407704,0
2015-09-12,0.00407704,0.00462533,0.00405659,0.00442025,0
2015-09-13,0.00442025,0.0044288,0.00398284,0.00408569,0
2015-09-14,0.00408569,0.00414254,0.00377252,0.00381124,0
2015-09-15,0.00381124,0.0042722,0.00380137,0.0040988,0
2015-09-16,0.0040988,0.00411964,0.00395062,0.00395062,0
2015-09-17,0.00395062,0.00396096,0.00364972,0.00380641,0
2015-09-18,0.00380641,0.0038155,0.00358559,0.00365722,0
2015-09-19,0.00365722,0.00394062,0.00359811,0.00383395,0
2015-09-20,0.00383395,0.00409899,0.00378677,0.00409899,0
2015-09-21,0.00409899,0.00416804,0.00388689,0.00403338,0
2015-09-22,0.00403338,0.00405066,0.00376995,0.00390848,0
2015-09-23,0.00390848,0.00392527,0.00383239,0.00388915,0
2015-09-24,0.00388915,0.00392107,0.00349168,0.00349348,0
2015-09-25,0.00349348,0.00352484,0.00310343,0.00315208,0
2015-09-26,0.00315208,0.00334974,0.00306423,0.00334974,0
2015-09-27,0.00334974,0.00337662,0.00309931,0.00309931,0
2015-09-28,0.00309931,0.00310932,0.00246258,0.0024752,0
2015-09-29,0.0024752,0.00284934,0.00238192,0.00278566,0
2015-09-30,0.00278566,0.0031342,0.00269472,0.00306777,0
2015-10-01,0.00306777,0.00309829,0.00278598,0.00288588,0
2015-10-02,0.00288588,0.00290368,0.00276525,0.00285313,0
2015-10-03,0.00285313,0.0029672,0.00284838,0.00287953,0
2015-10-04,0.00287953,0.00290152,0.00278319,0.00279204,0
2015-10-05,0.00279204,0.00282823,0.00261016,0.00262787,0
2015-10-06,0.00262787,0.00265754,0.00250993,0.00265754,0
2015-10-07,0.00265754,0.0026649,0.00248212,0.00251802,0
2015-10-08,0.00251802,0.00259616,0.00243121,0.00258066,0
2015-10-09,0.00258066,0.00283725,0.00256481,0.00267087,0
2015-10-10,0.00267087,0.00267087,0.00256039,0.0025605,0
2015-10-11,0.0025605,0.00261008,0.00253191,0.00256881,0
2015-10-12,0.00256881,0.00266048,0.00255407,0.00256193,0
2015-10-13,0.00256193,0.00257355,0.00240999,0.00242877,0
2015-10-14,0.00242877,0.00245094,0.00194061,0.00209434,0
2015-10-15,0.00209434,0.00225029,0.00205487,0.00220259,0
2015-10-16,0.00220259,0.00221163,0.00200465,0.00204573,0
2015-10-17,0.00204573,0.00211248,0.00195762,0.00203077,0
2015-10-18,0.00203077,0.002048,0.00195545,0.00196518,0
2015-10-19,0.00196518,0.00198167,0.00183324,0.00185609,0
2015-10-20,0.00185609,0.00190004,0.00161304,0.00161304,0
