time,open,high,low,close,Plot
2023-05-03T12:00:00Z,1.57785597,1.67850119,1.2360411,1.40606857,1
2023-05-04T00:00:00Z,1.40684222,1.53505484,1.30065854,1.30303798,1.0732433000000001
2023-05-04T12:00:00Z,1.30225139,1.34710927,1.29878884,1.33049937,1.0536880500000003
2023-05-05T00:00:00Z,1.33255558,1.37869443,1.26525659,1.34217374,1.04536818
2023-05-05T12:00:00Z,1.34341466,1.36562801,1.28593076,1.3096163,1.0685500400000003
2023-05-06T00:00:00Z,1.31006515,1.37820494,1.29685448,1.324427,1.0580257600000003
2023-05-06T12:00:00Z,1.32574649,1.35263163,1.27375182,1.33609023,1.0497058900000003
2023-05-07T00:00:00Z,1.33578771,1.34773725,1.28671639,1.29479396,1.0790743200000001
2023-05-07T12:00:00Z,1.2957051,1.31197958,1.22450773,1.23954176,1.1183981500000002
2023-05-08T00:00:00Z,1.23984176,1.24743584,1.11903209,1.14543274,1.1853126600000004
2023-05-08T12:00:00Z,1.14639729,1.16187214,1.02617665,1.13759868,1.1908592400000004
2023-05-09T00:00:00Z,1.13650435,1.15526356,1.09975229,1.14415606,1.1861659800000002
2023-05-09T12:00:00Z,1.1440835,1.21484666,1.13222002,1.18763123,1.1553042400000002
2023-05-10T00:00:00Z,1.1868977,1.22434529,1.12374704,1.14528558,1.1853837700000003
2023-05-10T12:00:00Z,1.14532511,1.24419381,1.10342949,1.18129655,1.1597841700000002
2023-05-11T00:00:00Z,1.18092008,1.18214169,1.12545174,1.12781669,1.1978280200000002
2023-05-11T12:00:00Z,1.1274455,1.13650338,1.03714644,1.07613065,1.2345918900000004
2023-05-12T00:00:00Z,1.07610717,1.0776716,1.0144678,1.05180067,1.2518716200000002
2023-05-12T12:00:00Z,1.05179097,1.11714709,1.04266626,1.11341759,1.2080678600000003
2023-05-13T00:00:00Z,1.11341759,1.12219802,1.09294884,1.12191527,1.20202351
2023-05-13T12:00:00Z,1.12157989,1.1318552,1.09442913,1.10308861,1.2153921900000002
2023-05-14T00:00:00Z,1.10308861,1.13253043,1.08121779,1.12261584,1.2015257400000003
2023-05-14T12:00:00Z,1.12262387,1.20000555,1.11728825,1.15984892,1.17507282
2023-05-15T00:00:00Z,1.15984892,1.25319903,1.13686413,1.21602748,1.1351090000000004
2023-05-15T12:00:00Z,1.21602748,1.24917425,1.18076446,1.18571962,1.1566553300000002
2023-05-16T00:00:00Z,1.18845296,1.206259,1.16671893,1.17630113,1.1633396700000003
2023-05-16T12:00:00Z,1.17631518,1.17814363,1.14845816,1.162055,1.1734372900000003
2023-05-17T00:00:00Z,1.162055,1.19295407,1.11883395,1.1232647,1.2010279700000002
2023-05-17T12:00:00Z,1.12300061,1.21276743,1.12255016,1.20949013,1.1397311500000002
2023-05-18T00:00:00Z,1.20966513,1.21554852,1.16855304,1.18122057,1.1598552800000002
2023-05-18T12:00:00Z,1.18122057,1.1833441,1.12889337,1.14196714,1.1877304000000002
2023-05-19T00:00:00Z,1.14196714,1.14793474,1.12569634,1.13052348,1.1959080500000003
2023-05-19T12:00:00Z,1.13053887,1.14369105,1.11851509,1.1313804,1.1952680600000003
2023-05-20T00:00:00Z,1.13144764,1.13252722,1.1121365,1.11933152,1.2038723700000002
2023-05-20T12:00:00Z,1.11933152,1.13320686,1.11713732,1.12428726,1.2003168700000002
2023-05-21T00:00:00Z,1.12433726,1.15329891,1.12093478,1.1222786,1.2017390700000001
2023-05-21T12:00:00Z,1.1222786,1.12828652,1.05306877,1.07361207,1.2363696400000002
2023-05-22T00:00:00Z,1.07359957,1.07668054,1.03505644,1.0568087,1.2483161200000004
2023-05-22T12:00:00Z,1.05732609,1.07070291,1.04723152,1.05575636,1.24902722
2023-05-23T00:00:00Z,1.05603136,1.08740913,1.05037787,1.07980531,1.23196082
2023-05-23T12:00:00Z,1.07988031,1.08278662,1.02809496,1.04913036,1.25379159
2023-05-24T00:00:00Z,1.04920004,1.04920004,0.96890838,0.98430477,1.2998708700000001
2023-05-24T12:00:00Z,0.98442499,0.98727743,0.9523257,0.98109522,1.3021463900000003
2023-05-25T00:00:00Z,0.98098387,0.99310379,0.95025701,0.99148062,1.2947509500000003
2023-05-25T12:00:00Z,0.99148062,1.00992821,0.96912089,0.98245494,1.3011508500000002
2023-05-26T00:00:00Z,0.98245494,0.99575686,0.96485037,0.98719623,1.2978086800000002
2023-05-26T12:00:00Z,0.98719635,1.00828908,0.98009649,0.99171621,1.2946087300000002
2023-05-27T00:00:00Z,0.99171621,1.01588852,0.9850332,0.99762516,1.2904132400000001
2023-05-27T12:00:00Z,0.99762516,1.00151903,0.98606887,0.99908973,1.2893465900000003
2023-05-28T00:00:00Z,0.99908973,1.02694962,0.9948984,1.0132295,1.2793200800000002
2023-05-28T12:00:00Z,1.0132295,1.06944518,1.01043362,1.06315305,1.2437650800000002
2023-05-29T00:00:00Z,1.06320305,1.08592158,1.02465559,1.07872538,1.2327430300000004
2023-05-29T12:00:00Z,1.07840038,1.09781077,1.02797718,1.04038352,1.2599781600000004
2023-05-30T00:00:00Z,1.04050756,1.06117858,1.01869478,1.04147868,1.25919595
2023-05-30T12:00:00Z,1.04195171,1.04211261,0.99507773,1.00347217,1.28621775
2023-05-31T00:00:00Z,1.00327217,1.00821902,0.95766443,0.95888842,1.3179328100000003
2023-05-31T12:00:00Z,0.95906795,0.9753319,0.94820946,0.97283332,1.3080485200000003
2023-06-01T00:00:00Z,0.97292312,0.97527834,0.94382929,0.95629111,1.3197816700000002
2023-06-01T12:00:00Z,0.95659111,0.97325399,0.94314913,0.94619671,1.3269637800000003
2023-06-02T00:00:00Z,0.94604141,0.96053478,0.90860465,0.95514824,1.3206349900000003
2023-06-02T12:00:00Z,0.95530962,0.9589161,0.92651108,0.94208375,1.3298792900000003
2023-06-03T00:00:00Z,0.94194291,0.95139098,0.90903163,0.9400513,1.3313014900000002
2023-06-03T12:00:00Z,0.93955844,0.9483013,0.92356097,0.93287464,1.3364214100000003
2023-06-04T00:00:00Z,0.93267545,0.9690755,0.93148313,0.96284275,1.3151595200000004
2023-06-04T12:00:00Z,0.96306775,0.97149578,0.95384167,0.9622699,1.3155150700000002
