time,open,high,low,close
2017-02-16,1014.12975,1043.665,1013.395,1036.4605
2017-02-17,1036.173,1064.37575,1034.6495,1056.14375
2017-02-18,1056.1975,1070.4535,1051.645,1059.32475
2017-02-19,1059.3175,1063.72,1045.158,1055.5025
2017-02-20,1055.4995,1090.86175,1047.31775,1086.9075
2017-02-21,1086.945,1131.78525,1079.655,1128.767
2017-02-22,1128.49025,1140.74975,1103.9025,1128.23475
2017-02-23,1127.633,1194.585,1124.293,1184.5075
2017-02-24,1182.03525,1217.57325,1089.6595,1183.9425
2017-02-25,1181.3135,1186.4775,1120.98575,1151.451
2017-02-26,1151.5785,1185.6825,1131.8025,1178.2475
2017-02-27,1178.6,1198.75025,1169.9125,1193.79025
2017-02-28,1194.205,1212.0975,1178.2195,1190.3725
2017-03-01,1190.2695,1230.2495,1160.45225,1227.5725
2017-03-02,1228.9025,1287.33625,1215.69525,1260.105
2017-03-03,1260.245,1293.585,1251.1345,1285.79225
2017-03-04,1286.355,1288.06375,1232.47975,1266.309
2017-03-05,1267.1425,1276.6785,1242.52375,1273.486
2017-03-06,1272.6525,1285.4725,1262.7885,1281.84
2017-03-07,1281.816,1284.6025,1143.347,1232.90425
2017-03-08,1235.48125,1243.8975,1138.713,1148.76175
2017-03-09,1148.5845,1210.0415,1126.6575,1193.146
2017-03-10,1192.67275,1336.4955,969.965,1111.57
2017-03-11,1110.08075,1201.452,1106.8855,1180.55975
2017-03-12,1180.5375,1238.868,1158.825,1229.79725
2017-03-13,1229.62975,1247.2695,1204.8475,1241.2
2017-03-14,1241.20025,1260.0505,1221.7275,1246.46875
2017-03-15,1246.84425,1262.1375,1240.70575,1258.75
2017-03-16,1259.25,1263.815,1101.1325,1172.03
2017-03-17,1171.875,1172.1825,1044.64,1058.0875
2017-03-18,1059.44725,1093.16975,934.00025,964.872
2017-03-19,963.87475,1056.6545,959.9965,1016.50675
2017-03-20,1012.5125,1049.0695,983.255,1038.135
