time,open,high,low,close,Plot,Plot
2014-04-06,463.97,465.9998,450,458.78,495.0571733333328,1
2014-04-07,458.5,461,445.05,446.58,487.6291733333328,1
2014-04-08,445.222,458.8,445.01,452.3849,478.7442533333327,1
2014-04-09,452.3849,455.1359089,440.0536,442.45,469.3082599999994,1
2014-04-10,442.4499,442.8689,357,364.2,455.1482599999993,1
2014-04-11,364.04989,433.6,340,421,451.614926666666,1
2014-04-12,421.999,441,413.0741,423.3,446.35159333333263,1
2014-04-13,422.2001,428.2,400,418,441.3889399999992,1
2014-04-14,417.6,478,406.4,460,441.32227999999924,1
2014-04-15,460,526.995,452,519,445.4562866666659,1
2014-04-16,519.11,547,495,531.25,448.8784133333326,1
2014-04-17,531.25,535.7499,486.1,498.1,452.93705999999924,1
2014-04-18,499,503.9999,474.25,480.044,455.0733333333326,1
2014-04-19,480.044,513.9899,473.83,504.999999,458.9385932666658,1
2014-04-20,504.99999,517.995,492.2,500.9501,461.4025999333325,1
2014-04-21,501.3551,515.646,485,495.39,463.84326659999914,1
2014-04-22,499.25,506,488,489.2503,466.6879532666659,1
2014-04-23,491.7,496,482.88,491.78,469.31429326666586,1
2014-04-24,492.08,504.96,480.16,503.7,473.39762659999917,1
2014-04-25,503.7,504.96,441.3,464.33566,480.0733372666658,1
2014-04-26,464.33566,469.19,449.8001,460,482.67333726666584,1
2014-04-27,459.01,465.6,427.55,429.99,483.11933726666587,1
2014-04-28,429.99,450,423.11,441.39,484.6786705999992,1
2014-04-29,441.39,454,434,446.53,483.78067059999916,1
2014-04-30,446.53,453.9899,432,449.0201,479.11534393333244,1
2014-05-01,449.0201,463.53,448.82,459.4102,474.32602393333246,1
2014-05-02,461.11993,461.11993,443,452,471.2526905999992,1
2014-05-03,451.99,451.9999,430,439.7398,468.5657439333325,1
2014-05-04,439.7297,441.4999,429,435.0413,463.9018306666658,1
2014-05-05,438.587999,444.4,425.5999,432.389,459.33109066666583,1
2014-05-06,431.6,435.39,419.4,429.7,454.95175733333247,1
2014-05-07,430,453.6,424.2487,440.43,451.6970706666658,1
2014-05-08,440,450.59,437.69,438.5,448.1450706666658,1
2014-05-09,438.2,456.6,438.2,454,444.83173733333246,1
2014-05-10,453.99,459.65,448.2,456.09,444.2820266666658,1
2014-05-11,456.11,458.4,430,437.97,442.81335999999914,1
2014-05-12,437.45,442,431.8,440,443.4806933333324,1
2014-05-13,440,440.9,434.01,438.81,443.3086933333324,1
2014-05-14,438.81,448,438.47,445,443.20669333333245,1
2014-05-15,444.03,451.4,444,447.58,443.1106866666658,1
2014-05-16,447.58,453,443.4,448.6,442.3900066666657,1
2014-05-17,448.6,450,446.83,449.03,442.1920066666658,1
2014-05-18,449.04,449.11,445.5,447.4,442.7026866666657,1
2014-05-19,447.6,448.5,444.1,447,443.4999333333324,1
2014-05-20,446.89,498.68,446,491.35,447.4306666666658,1
2014-05-21,490.62,501,489.5,494.99,451.78333333333245,1
2014-05-22,495,530,492.25,528.85,457.6779999999991,1
2014-05-23,528.85,544.78,521.11,523.57,463.3493333333325,1
2014-05-24,523.61,529.75,514.25,528,468.2826666666658,1
2014-05-25,528.92,586,528.92,573.99,476.14266666666583,1
2014-05-26,574.55,593.3,566.21,586,486.0113333333325,1
2014-05-27,586.69,597.3,551,576.08,495.08333333333246,1
2014-05-28,573.6,583.5,565,578.77,504.41399999999913,1
2014-05-29,580,583,563,569.5,512.7139999999991,1
2014-05-30,569.85,630,569.85,621,524.2753333333325,1
2014-05-31,620.9,629,610.02,626.21,536.1159999999992,1
2014-06-01,627.01,680,618.01,626.42,547.9419999999992,1
2014-06-02,631.97,679.8,615,667.11,562.5893333333325,1
2014-06-03,667.78,685,652.16,674,577.7226666666659,1
2014-06-04,670.84,672.97,620,642,587.7659999999992,1
2014-06-05,642,672,641,660.9,598.8266666666658,1
